Currents,Volts,Fit,Error
0,0,0.0718533489716441,-0.0718533489716441
4.1,2.02,1.91761545469778,0.102384545302222
8.7,3.95,3.98847050014661,-0.0384705001466106
13,5.94,5.92426978176182,0.0157302182381756
17.5,7.96,7.95010623926612,0.00989376073388204
21.9,9.93,9.93092410882587,-0.000924108825870462
26.4,11.94,11.9567605663302,-0.0167605663301647
