Currents,Volts,Fit,Error
0,0,0.0309778597785957,-0.0309778597785957
0.9,1.99,2.02012730627306,-0.000127306273061123
1.8,4.02,4.00927675276753,-0.0592767527675262
2.7,6.05,5.99842619926199,-0.0584261992619917
3.6,8.02,7.98757564575646,-0.0275756457564569
4.5,10.04,9.97672509225092,-0.0467250922509201
5.5,12.09,12.1868911439114,-0.246891143911439
